State1,County1,Cases per 100K,Deaths
"California","Alameda","1286.8800816595656","420"
"California","Alpine","177.1479185119575","0"
"California","Amador","651.5395451801168","16"
"California","Butte","1295.7031927221628","45"
"California","Calaveras","705.8054678139636","14"
"California","Colusa","2496.8673133150787","6"
"California","Contra Costa","1479.723907393505","211"
"California","Del Norte","524.9532575866533","1"
"California","El Dorado","611.8967242782988","4"
"California","Fresno","2882.191089789721","399"
"California","Glenn","2123.7628993061667","3"
"California","Humboldt","382.12425677569746","8"
"California","Imperial","6623.072041497669","323"
"California","Inyo","1058.8170075946562","15"
"California","Kern","3592.860269139593","381"
"California","Kings","5133.385641428011","104"
"California","Lake","902.3700804522723","11"
"California","Lassen","2426.9780525300102","0"
"California","Los Angeles","2715.908895083995","6626"
"California","Madera","2950.5425006515093","70"
"California","Marin","2599.81609266457","117"
"California","Mariposa","441.7834098703715","2"
"California","Mendocino","1119.3212601874372","19"
"California","Merced","3253.0250648228175","145"
"California","Modoc","305.39531727180184","0"
"California","Mono","1170.0360011077262","2"
"California","Monterey","2354.277394191139","74"
"California","Napa","1258.8570101057032","13"
"California","Nevada","544.3336173625382","7"
"California","Orange","1704.1325166294464","1281"
"California","Placer","910.8048874171852","49"
"California","Plumas","265.85845695751584","0"
"California","Riverside","2425.94147204707","1231"
"California","Sacramento","1472.560948108898","430"
"California","San Benito","2162.144949687938","11"
"California","San Bernardino","2553.6160287328244","962"
"California","San Diego","1431.5840555008044","794"
"California","San Francisco","1288.640790245352","107"
"California","San Joaquin","2687.798170434089","470"
"California","San Luis Obispo","1301.609616016333","31"
"California","San Mateo","1320.9439935922605","152"
"California","Santa Barbara","2071.4492081729186","115"
"California","Santa Clara","1120.677313403726","330"
"California","Santa Cruz","908.082704702924","12"
"California","Shasta","529.2092403376278","22"
"California","Sierra","199.66722129783693","0"
"California","Siskiyou","383.5641608672684","0"
"California","Solano","1456.5178054833875","71"
"California","Sonoma","1551.171672708441","122"
"California","Stanislaus","3019.6491482947736","368"
"California","Sutter","1802.6007775520518","11"
"California","Tehama","929.5679429660132","6"
"California","Trinity","130.24013024013024","0"
"California","Tulare","3517.6267441735754","265"
"California","Tuolumne","422.1887734498329","4"
"California","Ventura","1529.8945870360258","153"
"California","Yolo","1291.156462585034","55"
"California","Yuba","1510.1438958661718","9"
